# F5 intake. One row per legal syllable-onset cluster, ARPAbet, space separated.
# Source approved by the spec owner: Hanna Kivisto-de Souza (2017), Table 1,
# "Onset consonant clusters of General American English". The table states it is
# adapted/summarized from Kivisto-de Souza (2015), Cruttenden (2008) and
# Yavas (2011, pp. 139-146). Dialect: General American, matching the CMUdict lexicon.
# 23 singletons (all consonants except NG) + 33 CC + 8 CCC = 64.
onset,source,page_or_table,dialect,notes
B,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
CH,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
D,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
DH,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
F,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
G,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
HH,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
JH,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
K,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
L,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
M,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
N,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
P,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
SH,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
T,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
TH,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
V,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
W,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
Y,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
Z,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
ZH,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S P,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S T,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S K,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S L,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S W,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S M,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
S N,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
P L,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
P R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
B L,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
B R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
T R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
T W,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
D R,Kivisto-de Souza (2017), Table 1,Table 1, 'Onset consonant clusters of General American English',General American,
